Year,Period ID,Period,Area,Adjusted,Unemployment Rate
"2006","08","Aug","Longview MSA","Adj","4.6"
"2006","09","Sep","Longview MSA","Adj","4.4"
"2006","10","Oct","Longview MSA","Adj","4.3"
"2006","11","Nov","Longview MSA","Adj","4.2"
"2006","12","Dec","Longview MSA","Adj","4.1"
"2005","01","Jan","Longview MSA","Adj","5.4"
"2005","02","Feb","Longview MSA","Adj","5.3"
"2005","03","Mar","Longview MSA","Adj","5.3"
"2005","04","Apr","Longview MSA","Adj","5.2"
"2005","05","May","Longview MSA","Adj","5.0"
"2005","06","Jun","Longview MSA","Adj","4.9"
"2005","07","Jul","Longview MSA","Adj","4.8"
"2005","08","Aug","Longview MSA","Adj","4.8"
"2005","09","Sep","Longview MSA","Adj","4.8"
"2005","10","Oct","Longview MSA","Adj","4.8"
"2005","11","Nov","Longview MSA","Adj","4.8"
"2005","12","Dec","Longview MSA","Adj","4.8"
"2004","01","Jan","Longview MSA","Adj","6.2"
"2004","02","Feb","Longview MSA","Adj","6.1"
"2004","03","Mar","Longview MSA","Adj","6.1"
"2004","04","Apr","Longview MSA","Adj","6.0"
"2004","05","May","Longview MSA","Adj","5.8"
"2004","06","Jun","Longview MSA","Adj","5.7"
"2004","07","Jul","Longview MSA","Adj","5.6"
"2004","08","Aug","Longview MSA","Adj","5.5"
"2004","09","Sep","Longview MSA","Adj","5.4"
"2004","10","Oct","Longview MSA","Adj","5.5"
"2004","11","Nov","Longview MSA","Adj","5.5"
"2004","12","Dec","Longview MSA","Adj","5.4"
"2003","01","Jan","Longview MSA","Adj","7.0"
"2003","02","Feb","Longview MSA","Adj","7.1"
"2003","03","Mar","Longview MSA","Adj","7.1"
"2003","04","Apr","Longview MSA","Adj","7.1"
"2003","05","May","Longview MSA","Adj","7.1"
"2003","06","Jun","Longview MSA","Adj","7.1"
"2003","07","Jul","Longview MSA","Adj","6.9"
"2003","08","Aug","Longview MSA","Adj","6.8"
"2003","09","Sep","Longview MSA","Adj","6.7"
"2003","10","Oct","Longview MSA","Adj","6.6"
"2003","11","Nov","Longview MSA","Adj","6.4"
"2003","12","Dec","Longview MSA","Adj","6.3"
"2002","01","Jan","Longview MSA","Adj","6.5"
"2002","02","Feb","Longview MSA","Adj","6.6"
"2002","03","Mar","Longview MSA","Adj","6.7"
"2002","04","Apr","Longview MSA","Adj","6.8"
"2002","05","May","Longview MSA","Adj","6.8"
"2002","06","Jun","Longview MSA","Adj","6.9"
"2002","07","Jul","Longview MSA","Adj","6.9"
"2002","08","Aug","Longview MSA","Adj","6.8"
"2002","09","Sep","Longview MSA","Adj","6.8"
"2002","10","Oct","Longview MSA","Adj","6.9"
"2002","11","Nov","Longview MSA","Adj","6.9"
"2002","12","Dec","Longview MSA","Adj","7.0"
"2001","01","Jan","Longview MSA","Adj","4.7"
"2001","02","Feb","Longview MSA","Adj","4.7"
"2001","03","Mar","Longview MSA","Adj","4.8"
"2001","04","Apr","Longview MSA","Adj","4.9"
"2001","05","May","Longview MSA","Adj","5.0"
"2001","06","Jun","Longview MSA","Adj","5.1"
"2001","07","Jul","Longview MSA","Adj","5.2"
"2001","08","Aug","Longview MSA","Adj","5.4"
"2001","09","Sep","Longview MSA","Adj","5.6"
"2001","10","Oct","Longview MSA","Adj","5.9"
"2001","11","Nov","Longview MSA","Adj","6.1"
"2001","12","Dec","Longview MSA","Adj","6.3"
"2000","01","Jan","Longview MSA","Adj","5.8"
"2000","02","Feb","Longview MSA","Adj","5.7"
"2000","03","Mar","Longview MSA","Adj","5.5"
"2000","04","Apr","Longview MSA","Adj","5.4"
"2000","05","May","Longview MSA","Adj","5.2"
"2000","06","Jun","Longview MSA","Adj","5.1"
"2000","07","Jul","Longview MSA","Adj","5.0"
"2000","08","Aug","Longview MSA","Adj","5.0"
"2000","09","Sep","Longview MSA","Adj","5.0"
"2000","10","Oct","Longview MSA","Adj","4.9"
"2000","11","Nov","Longview MSA","Adj","4.8"
"2000","12","Dec","Longview MSA","Adj","4.7"
"1999","01","Jan","Longview MSA","Adj","6.8"
"1999","02","Feb","Longview MSA","Adj","6.7"
"1999","03","Mar","Longview MSA","Adj","6.8"
"1999","04","Apr","Longview MSA","Adj","7.0"
"1999","05","May","Longview MSA","Adj","7.0"
"1999","06","Jun","Longview MSA","Adj","7.0"
"1999","07","Jul","Longview MSA","Adj","7.1"
"1999","08","Aug","Longview MSA","Adj","7.1"
"1999","09","Sep","Longview MSA","Adj","7.1"
"1999","10","Oct","Longview MSA","Adj","7.0"
"1999","11","Nov","Longview MSA","Adj","6.9"
"1999","12","Dec","Longview MSA","Adj","6.9"
"1998","01","Jan","Longview MSA","Adj","6.5"
"1998","02","Feb","Longview MSA","Adj","6.4"
"1998","03","Mar","Longview MSA","Adj","6.3"
"1998","04","Apr","Longview MSA","Adj","6.2"
"1998","05","May","Longview MSA","Adj","6.3"
"1998","06","Jun","Longview MSA","Adj","6.6"
"1998","07","Jul","Longview MSA","Adj","6.9"
"1998","08","Aug","Longview MSA","Adj","7.2"
"1998","09","Sep","Longview MSA","Adj","7.5"
"1998","10","Oct","Longview MSA","Adj","7.4"
"1998","11","Nov","Longview MSA","Adj","7.2"
"1998","12","Dec","Longview MSA","Adj","7.0"
"1997","01","Jan","Longview MSA","Adj","7.0"
"1997","02","Feb","Longview MSA","Adj","7.1"
"1997","03","Mar","Longview MSA","Adj","7.0"
"1997","04","Apr","Longview MSA","Adj","6.8"
"1997","05","May","Longview MSA","Adj","6.7"
"1997","06","Jun","Longview MSA","Adj","6.8"
"1997","07","Jul","Longview MSA","Adj","6.9"
"1997","08","Aug","Longview MSA","Adj","6.9"
"1997","09","Sep","Longview MSA","Adj","6.8"
"1997","10","Oct","Longview MSA","Adj","6.8"
"1997","11","Nov","Longview MSA","Adj","6.7"
"1997","12","Dec","Longview MSA","Adj","6.7"
"1996","01","Jan","Longview MSA","Adj","7.4"
"1996","02","Feb","Longview MSA","Adj","7.4"
"1996","03","Mar","Longview MSA","Adj","7.3"
"1996","04","Apr","Longview MSA","Adj","7.3"
"1996","05","May","Longview MSA","Adj","7.1"
"1996","06","Jun","Longview MSA","Adj","6.8"
"1996","07","Jul","Longview MSA","Adj","6.6"
"1996","08","Aug","Longview MSA","Adj","6.5"
"1996","09","Sep","Longview MSA","Adj","6.6"
"1996","10","Oct","Longview MSA","Adj","6.8"
"1996","11","Nov","Longview MSA","Adj","6.9"
"1996","12","Dec","Longview MSA","Adj","6.9"
"1995","01","Jan","Longview MSA","Adj","6.6"
"1995","02","Feb","Longview MSA","Adj","6.5"
"1995","03","Mar","Longview MSA","Adj","6.7"
"1995","04","Apr","Longview MSA","Adj","7.1"
"1995","05","May","Longview MSA","Adj","7.4"
"1995","06","Jun","Longview MSA","Adj","7.6"
"1995","07","Jul","Longview MSA","Adj","7.7"
"1995","08","Aug","Longview MSA","Adj","7.7"
"1995","09","Sep","Longview MSA","Adj","7.6"
"1995","10","Oct","Longview MSA","Adj","7.5"
"1995","11","Nov","Longview MSA","Adj","7.6"
"1995","12","Dec","Longview MSA","Adj","7.5"
"1994","01","Jan","Longview MSA","Adj","8.3"
"1994","02","Feb","Longview MSA","Adj","8.6"
"1994","03","Mar","Longview MSA","Adj","8.7"
"1994","04","Apr","Longview MSA","Adj","8.5"
"1994","05","May","Longview MSA","Adj","8.4"
"1994","06","Jun","Longview MSA","Adj","8.3"
"1994","07","Jul","Longview MSA","Adj","8.2"
"1994","08","Aug","Longview MSA","Adj","8.0"
"1994","09","Sep","Longview MSA","Adj","7.7"
"1994","10","Oct","Longview MSA","Adj","7.3"
"1994","11","Nov","Longview MSA","Adj","6.9"
"1994","12","Dec","Longview MSA","Adj","6.7"
"1993","01","Jan","Longview MSA","Adj","9.7"
"1993","02","Feb","Longview MSA","Adj","9.7"
"1993","03","Mar","Longview MSA","Adj","9.6"
"1993","04","Apr","Longview MSA","Adj","9.5"
"1993","05","May","Longview MSA","Adj","9.4"
"1993","06","Jun","Longview MSA","Adj","9.1"
"1993","07","Jul","Longview MSA","Adj","8.9"
"1993","08","Aug","Longview MSA","Adj","8.5"
"1993","09","Sep","Longview MSA","Adj","8.3"
"1993","10","Oct","Longview MSA","Adj","8.3"
"1993","11","Nov","Longview MSA","Adj","8.2"
"1993","12","Dec","Longview MSA","Adj","8.1"
"1992","01","Jan","Longview MSA","Adj","9.5"
"1992","02","Feb","Longview MSA","Adj","9.5"
"1992","03","Mar","Longview MSA","Adj","9.2"
"1992","04","Apr","Longview MSA","Adj","9.0"
"1992","05","May","Longview MSA","Adj","9.1"
"1992","06","Jun","Longview MSA","Adj","9.2"
"1992","07","Jul","Longview MSA","Adj","9.0"
"1992","08","Aug","Longview MSA","Adj","9.0"
"1992","09","Sep","Longview MSA","Adj","9.2"
"1992","10","Oct","Longview MSA","Adj","9.4"
"1992","11","Nov","Longview MSA","Adj","9.7"
"1992","12","Dec","Longview MSA","Adj","9.7"
"1991","01","Jan","Longview MSA","Adj","8.1"
"1991","02","Feb","Longview MSA","Adj","8.3"
"1991","03","Mar","Longview MSA","Adj","8.5"
"1991","04","Apr","Longview MSA","Adj","8.6"
"1991","05","May","Longview MSA","Adj","8.7"
"1991","06","Jun","Longview MSA","Adj","8.6"
"1991","07","Jul","Longview MSA","Adj","8.3"
"1991","08","Aug","Longview MSA","Adj","8.1"
"1991","09","Sep","Longview MSA","Adj","8.2"
"1991","10","Oct","Longview MSA","Adj","8.5"
"1991","11","Nov","Longview MSA","Adj","9.0"
"1991","12","Dec","Longview MSA","Adj","9.4"
"1990","01","Jan","Longview MSA","Adj","7.4"
"1990","02","Feb","Longview MSA","Adj","7.3"
"1990","03","Mar","Longview MSA","Adj","7.3"
"1990","04","Apr","Longview MSA","Adj","7.4"
"1990","05","May","Longview MSA","Adj","7.2"
"1990","06","Jun","Longview MSA","Adj","7.2"
"1990","07","Jul","Longview MSA","Adj","7.4"
"1990","08","Aug","Longview MSA","Adj","7.7"
"1990","09","Sep","Longview MSA","Adj","7.7"
"1990","10","Oct","Longview MSA","Adj","7.7"
"1990","11","Nov","Longview MSA","Adj","7.8"
"1990","12","Dec","Longview MSA","Adj","8.0"
"2017","01","Jan","Lubbock MSA","Adj","3.4"
"2017","02","Feb","Lubbock MSA","Adj","3.6"
"2017","03","Mar","Lubbock MSA","Adj","3.9"
"2017","04","Apr","Lubbock MSA","Adj","3.7"
"2017","05","May","Lubbock MSA","Adj","3.5"
"2017","06","Jun","Lubbock MSA","Adj","3.3"
"2017","07","Jul","Lubbock MSA","Adj","3.1"
"2017","08","Aug","Lubbock MSA","Adj","3.3"
"2017","09","Sep","Lubbock MSA","Adj","3.1"
"2016","01","Jan","Lubbock MSA","Adj","3.3"
"2016","02","Feb","Lubbock MSA","Adj","3.3"
"2016","03","Mar","Lubbock MSA","Adj","3.3"
"2016","04","Apr","Lubbock MSA","Adj","3.4"
"2016","05","May","Lubbock MSA","Adj","3.3"
"2016","06","Jun","Lubbock MSA","Adj","3.2"
"2016","07","Jul","Lubbock MSA","Adj","3.4"
"2016","08","Aug","Lubbock MSA","Adj","3.5"
"2016","09","Sep","Lubbock MSA","Adj","3.6"
"2016","10","Oct","Lubbock MSA","Adj","3.5"
"2016","11","Nov","Lubbock MSA","Adj","3.4"
"2016","12","Dec","Lubbock MSA","Adj","3.5"
"2015","01","Jan","Lubbock MSA","Adj","3.5"
"2015","02","Feb","Lubbock MSA","Adj","3.5"
"2015","03","Mar","Lubbock MSA","Adj","3.5"
"2015","04","Apr","Lubbock MSA","Adj","3.5"
"2015","05","May","Lubbock MSA","Adj","3.5"
"2015","06","Jun","Lubbock MSA","Adj","3.4"
"2015","07","Jul","Lubbock MSA","Adj","3.3"
"2015","08","Aug","Lubbock MSA","Adj","3.4"
"2015","09","Sep","Lubbock MSA","Adj","3.4"
"2015","10","Oct","Lubbock MSA","Adj","3.5"
"2015","11","Nov","Lubbock MSA","Adj","3.5"
"2015","12","Dec","Lubbock MSA","Adj","3.5"
"2014","01","Jan","Lubbock MSA","Adj","4.3"
"2014","02","Feb","Lubbock MSA","Adj","4.3"
"2014","03","Mar","Lubbock MSA","Adj","4.2"
"2014","04","Apr","Lubbock MSA","Adj","4.1"
"2014","05","May","Lubbock MSA","Adj","4.0"
"2014","06","Jun","Lubbock MSA","Adj","3.9"
"2014","07","Jul","Lubbock MSA","Adj","3.9"
"2014","08","Aug","Lubbock MSA","Adj","3.9"
"2014","09","Sep","Lubbock MSA","Adj","3.8"
"2014","10","Oct","Lubbock MSA","Adj","3.8"
"2014","11","Nov","Lubbock MSA","Adj","3.7"
"2014","12","Dec","Lubbock MSA","Adj","3.6"
"2013","01","Jan","Lubbock MSA","Adj","5.2"
"2013","02","Feb","Lubbock MSA","Adj","5.2"
"2013","03","Mar","Lubbock MSA","Adj","5.2"
"2013","04","Apr","Lubbock MSA","Adj","5.1"
"2013","05","May","Lubbock MSA","Adj","5.1"
"2013","06","Jun","Lubbock MSA","Adj","5.0"
"2013","07","Jul","Lubbock MSA","Adj","4.9"
"2013","08","Aug","Lubbock MSA","Adj","4.8"
"2013","09","Sep","Lubbock MSA","Adj","4.7"
"2013","10","Oct","Lubbock MSA","Adj","4.7"
"2013","11","Nov","Lubbock MSA","Adj","4.6"
"2013","12","Dec","Lubbock MSA","Adj","4.4"
"2012","01","Jan","Lubbock MSA","Adj","5.7"
"2012","02","Feb","Lubbock MSA","Adj","5.7"
"2012","03","Mar","Lubbock MSA","Adj","5.6"
"2012","04","Apr","Lubbock MSA","Adj","5.6"
"2012","05","May","Lubbock MSA","Adj","5.5"
"2012","06","Jun","Lubbock MSA","Adj","5.5"
"2012","07","Jul","Lubbock MSA","Adj","5.5"
"2012","08","Aug","Lubbock MSA","Adj","5.3"
"2012","09","Sep","Lubbock MSA","Adj","5.1"
"2012","10","Oct","Lubbock MSA","Adj","5.1"
"2012","11","Nov","Lubbock MSA","Adj","5.1"
"2012","12","Dec","Lubbock MSA","Adj","5.2"
"2011","01","Jan","Lubbock MSA","Adj","6.2"
"2011","02","Feb","Lubbock MSA","Adj","6.1"
"2011","03","Mar","Lubbock MSA","Adj","6.0"
"2011","04","Apr","Lubbock MSA","Adj","6.0"
"2011","05","May","Lubbock MSA","Adj","6.1"
"2011","06","Jun","Lubbock MSA","Adj","6.2"
"2011","07","Jul","Lubbock MSA","Adj","6.2"
"2011","08","Aug","Lubbock MSA","Adj","6.2"
"2011","09","Sep","Lubbock MSA","Adj","6.2"
"2011","10","Oct","Lubbock MSA","Adj","6.0"
"2011","11","Nov","Lubbock MSA","Adj","5.8"
"2011","12","Dec","Lubbock MSA","Adj","5.7"
"2010","01","Jan","Lubbock MSA","Adj","6.3"
"2010","02","Feb","Lubbock MSA","Adj","6.4"
"2010","03","Mar","Lubbock MSA","Adj","6.4"
"2010","04","Apr","Lubbock MSA","Adj","6.4"
"2010","05","May","Lubbock MSA","Adj","6.2"
"2010","06","Jun","Lubbock MSA","Adj","6.2"
"2010","07","Jul","Lubbock MSA","Adj","6.2"
"2010","08","Aug","Lubbock MSA","Adj","6.2"
"2010","09","Sep","Lubbock MSA","Adj","6.2"
"2010","10","Oct","Lubbock MSA","Adj","6.3"
"2010","11","Nov","Lubbock MSA","Adj","6.3"
"2010","12","Dec","Lubbock MSA","Adj","6.3"
"2009","01","Jan","Lubbock MSA","Adj","4.4"
"2009","02","Feb","Lubbock MSA","Adj","4.5"
"2009","03","Mar","Lubbock MSA","Adj","4.5"
"2009","04","Apr","Lubbock MSA","Adj","4.5"
"2009","05","May","Lubbock MSA","Adj","5.9"
"2009","06","Jun","Lubbock MSA","Adj","5.9"
"2009","07","Jul","Lubbock MSA","Adj","5.9"
"2009","08","Aug","Lubbock MSA","Adj","6.0"
"2009","09","Sep","Lubbock MSA","Adj","6.0"
"2009","10","Oct","Lubbock MSA","Adj","5.9"
"2009","11","Nov","Lubbock MSA","Adj","5.9"
"2009","12","Dec","Lubbock MSA","Adj","6.1"
"2008","01","Jan","Lubbock MSA","Adj","3.5"
"2008","02","Feb","Lubbock MSA","Adj","3.4"
"2008","03","Mar","Lubbock MSA","Adj","3.3"
"2008","04","Apr","Lubbock MSA","Adj","3.4"
"2008","05","May","Lubbock MSA","Adj","3.5"
"2008","06","Jun","Lubbock MSA","Adj","3.7"
"2008","07","Jul","Lubbock MSA","Adj","3.8"
"2008","08","Aug","Lubbock MSA","Adj","3.9"
"2008","09","Sep","Lubbock MSA","Adj","4.0"
"2008","10","Oct","Lubbock MSA","Adj","4.0"
"2008","11","Nov","Lubbock MSA","Adj","4.1"
"2008","12","Dec","Lubbock MSA","Adj","4.3"
"2007","01","Jan","Lubbock MSA","Adj","3.7"
"2007","02","Feb","Lubbock MSA","Adj","3.7"
"2007","03","Mar","Lubbock MSA","Adj","3.6"
"2007","04","Apr","Lubbock MSA","Adj","3.5"
"2007","05","May","Lubbock MSA","Adj","3.4"
"2007","06","Jun","Lubbock MSA","Adj","3.4"
"2007","07","Jul","Lubbock MSA","Adj","3.5"
"2007","08","Aug","Lubbock MSA","Adj","3.5"
"2007","09","Sep","Lubbock MSA","Adj","3.6"
"2007","10","Oct","Lubbock MSA","Adj","3.6"
"2007","11","Nov","Lubbock MSA","Adj","3.7"
"2007","12","Dec","Lubbock MSA","Adj","3.7"
"2006","01","Jan","Lubbock MSA","Adj","4.0"
"2006","02","Feb","Lubbock MSA","Adj","4.0"
"2006","03","Mar","Lubbock MSA","Adj","4.2"
"2006","04","Apr","Lubbock MSA","Adj","4.2"
"2006","05","May","Lubbock MSA","Adj","4.1"
"2006","06","Jun","Lubbock MSA","Adj","4.1"
"2006","07","Jul","Lubbock MSA","Adj","4.1"
"2006","08","Aug","Lubbock MSA","Adj","4.0"
"2006","09","Sep","Lubbock MSA","Adj","3.9"
"2006","10","Oct","Lubbock MSA","Adj","3.9"
"2006","11","Nov","Lubbock MSA","Adj","3.8"
"2006","12","Dec","Lubbock MSA","Adj","3.7"
"2005","01","Jan","Lubbock MSA","Adj","4.4"
"2005","02","Feb","Lubbock MSA","Adj","4.3"
"2005","03","Mar","Lubbock MSA","Adj","4.2"
"2005","04","Apr","Lubbock MSA","Adj","4.2"
"2005","05","May","Lubbock MSA","Adj","4.2"
"2005","06","Jun","Lubbock MSA","Adj","4.1"
"2005","07","Jul","Lubbock MSA","Adj","4.1"
"2005","08","Aug","Lubbock MSA","Adj","4.1"
"2005","09","Sep","Lubbock MSA","Adj","4.0"
"2005","10","Oct","Lubbock MSA","Adj","4.0"
"2005","11","Nov","Lubbock MSA","Adj","4.0"
"2005","12","Dec","Lubbock MSA","Adj","4.1"
"2004","01","Jan","Lubbock MSA","Adj","4.7"
"2004","02","Feb","Lubbock MSA","Adj","4.6"
"2004","03","Mar","Lubbock MSA","Adj","4.6"
"2004","04","Apr","Lubbock MSA","Adj","4.5"
"2004","05","May","Lubbock MSA","Adj","4.5"
"2004","06","Jun","Lubbock MSA","Adj","4.5"
"2004","07","Jul","Lubbock MSA","Adj","4.4"
"2004","08","Aug","Lubbock MSA","Adj","4.4"
"2004","09","Sep","Lubbock MSA","Adj","4.4"
"2004","10","Oct","Lubbock MSA","Adj","4.5"
"2004","11","Nov","Lubbock MSA","Adj","4.5"
"2004","12","Dec","Lubbock MSA","Adj","4.5"
"2003","01","Jan","Lubbock MSA","Adj","4.7"
"2003","02","Feb","Lubbock MSA","Adj","4.7"
"2003","03","Mar","Lubbock MSA","Adj","4.7"
"2003","04","Apr","Lubbock MSA","Adj","4.8"
"2003","05","May","Lubbock MSA","Adj","5.0"
"2003","06","Jun","Lubbock MSA","Adj","5.1"
"2003","07","Jul","Lubbock MSA","Adj","5.1"
"2003","08","Aug","Lubbock MSA","Adj","5.0"
"2003","09","Sep","Lubbock MSA","Adj","4.9"
"2003","10","Oct","Lubbock MSA","Adj","4.9"
"2003","11","Nov","Lubbock MSA","Adj","4.8"
"2003","12","Dec","Lubbock MSA","Adj","4.7"
"2002","01","Jan","Lubbock MSA","Adj","4.1"
"2002","02","Feb","Lubbock MSA","Adj","4.1"
"2002","03","Mar","Lubbock MSA","Adj","4.3"
"2002","04","Apr","Lubbock MSA","Adj","4.4"
"2002","05","May","Lubbock MSA","Adj","4.5"
"2002","06","Jun","Lubbock MSA","Adj","4.5"
"2002","07","Jul","Lubbock MSA","Adj","4.5"
"2002","08","Aug","Lubbock MSA","Adj","4.4"
"2002","09","Sep","Lubbock MSA","Adj","4.4"
"2002","10","Oct","Lubbock MSA","Adj","4.5"
"2002","11","Nov","Lubbock MSA","Adj","4.6"
"2002","12","Dec","Lubbock MSA","Adj","4.6"
"2001","01","Jan","Lubbock MSA","Adj","3.3"
"2001","02","Feb","Lubbock MSA","Adj","3.4"
"2001","03","Mar","Lubbock MSA","Adj","3.6"
"2001","04","Apr","Lubbock MSA","Adj","3.6"
"2001","05","May","Lubbock MSA","Adj","3.6"
"2001","06","Jun","Lubbock MSA","Adj","3.6"
"2001","07","Jul","Lubbock MSA","Adj","3.6"
"2001","08","Aug","Lubbock MSA","Adj","3.7"
"2001","09","Sep","Lubbock MSA","Adj","3.9"
"2001","10","Oct","Lubbock MSA","Adj","4.0"
"2001","11","Nov","Lubbock MSA","Adj","4.0"
"2001","12","Dec","Lubbock MSA","Adj","4.1"
"2000","01","Jan","Lubbock MSA","Adj","3.8"
"2000","02","Feb","Lubbock MSA","Adj","3.8"
"2000","03","Mar","Lubbock MSA","Adj","3.8"
"2000","04","Apr","Lubbock MSA","Adj","3.6"
"2000","05","May","Lubbock MSA","Adj","3.6"
"2000","06","Jun","Lubbock MSA","Adj","3.5"
"2000","07","Jul","Lubbock MSA","Adj","3.4"
"2000","08","Aug","Lubbock MSA","Adj","3.5"
"2000","09","Sep","Lubbock MSA","Adj","3.5"
"2000","10","Oct","Lubbock MSA","Adj","3.5"
"2000","11","Nov","Lubbock MSA","Adj","3.4"
"2000","12","Dec","Lubbock MSA","Adj","3.3"
"1999","01","Jan","Lubbock MSA","Adj","3.1"
"1999","02","Feb","Lubbock MSA","Adj","3.0"
"1999","03","Mar","Lubbock MSA","Adj","3.0"
"1999","04","Apr","Lubbock MSA","Adj","3.0"
"1999","05","May","Lubbock MSA","Adj","3.0"
"1999","06","Jun","Lubbock MSA","Adj","2.9"
"1999","07","Jul","Lubbock MSA","Adj","2.9"
"1999","08","Aug","Lubbock MSA","Adj","3.0"
"1999","09","Sep","Lubbock MSA","Adj","3.0"
"1999","10","Oct","Lubbock MSA","Adj","3.1"
"1999","11","Nov","Lubbock MSA","Adj","3.1"
"1999","12","Dec","Lubbock MSA","Adj","3.1"
"1998","01","Jan","Lubbock MSA","Adj","3.8"
"1998","02","Feb","Lubbock MSA","Adj","3.7"
"1998","03","Mar","Lubbock MSA","Adj","3.7"
"1998","04","Apr","Lubbock MSA","Adj","3.6"
"1998","05","May","Lubbock MSA","Adj","3.6"
"1998","06","Jun","Lubbock MSA","Adj","3.7"
"1998","07","Jul","Lubbock MSA","Adj","3.7"
"1998","08","Aug","Lubbock MSA","Adj","3.6"
"1998","09","Sep","Lubbock MSA","Adj","3.5"
"1998","10","Oct","Lubbock MSA","Adj","3.3"
"1998","11","Nov","Lubbock MSA","Adj","3.2"
"1998","12","Dec","Lubbock MSA","Adj","3.1"
"1997","01","Jan","Lubbock MSA","Adj","3.9"
"1997","02","Feb","Lubbock MSA","Adj","4.0"
"1997","03","Mar","Lubbock MSA","Adj","4.0"
"1997","04","Apr","Lubbock MSA","Adj","4.0"
"1997","05","May","Lubbock MSA","Adj","4.0"
"1997","06","Jun","Lubbock MSA","Adj","4.1"
"1997","07","Jul","Lubbock MSA","Adj","4.0"
"1997","08","Aug","Lubbock MSA","Adj","3.9"
"1997","09","Sep","Lubbock MSA","Adj","3.9"
"1997","10","Oct","Lubbock MSA","Adj","3.9"
"1997","11","Nov","Lubbock MSA","Adj","3.9"
"1997","12","Dec","Lubbock MSA","Adj","3.8"
"1996","01","Jan","Lubbock MSA","Adj","4.4"
"1996","02","Feb","Lubbock MSA","Adj","4.3"
"1996","03","Mar","Lubbock MSA","Adj","4.2"
"1996","04","Apr","Lubbock MSA","Adj","4.2"
"1996","05","May","Lubbock MSA","Adj","4.2"
"1996","06","Jun","Lubbock MSA","Adj","4.1"
"1996","07","Jul","Lubbock MSA","Adj","4.0"
"1996","08","Aug","Lubbock MSA","Adj","3.9"
"1996","09","Sep","Lubbock MSA","Adj","3.9"
"1996","10","Oct","Lubbock MSA","Adj","3.9"
"1996","11","Nov","Lubbock MSA","Adj","4.0"
"1996","12","Dec","Lubbock MSA","Adj","4.0"
"1995","01","Jan","Lubbock MSA","Adj","3.9"
"1995","02","Feb","Lubbock MSA","Adj","3.9"
"1995","03","Mar","Lubbock MSA","Adj","3.9"
"1995","04","Apr","Lubbock MSA","Adj","4.0"
"1995","05","May","Lubbock MSA","Adj","4.0"
"1995","06","Jun","Lubbock MSA","Adj","4.0"
"1995","07","Jul","Lubbock MSA","Adj","4.1"
"1995","08","Aug","Lubbock MSA","Adj","4.2"
"1995","09","Sep","Lubbock MSA","Adj","4.2"
"1995","10","Oct","Lubbock MSA","Adj","4.2"
"1995","11","Nov","Lubbock MSA","Adj","4.2"
"1995","12","Dec","Lubbock MSA","Adj","4.3"
"1994","01","Jan","Lubbock MSA","Adj","4.6"
"1994","02","Feb","Lubbock MSA","Adj","4.7"
"1994","03","Mar","Lubbock MSA","Adj","4.7"
"1994","04","Apr","Lubbock MSA","Adj","4.6"
"1994","05","May","Lubbock MSA","Adj","4.4"
"1994","06","Jun","Lubbock MSA","Adj","4.4"
"1994","07","Jul","Lubbock MSA","Adj","4.4"
"1994","08","Aug","Lubbock MSA","Adj","4.4"
"1994","09","Sep","Lubbock MSA","Adj","4.2"
"1994","10","Oct","Lubbock MSA","Adj","4.1"
"1994","11","Nov","Lubbock MSA","Adj","4.0"
"1994","12","Dec","Lubbock MSA","Adj","3.9"
"1993","01","Jan","Lubbock MSA","Adj","5.3"
"1993","02","Feb","Lubbock MSA","Adj","5.2"
"1993","03","Mar","Lubbock MSA","Adj","5.1"
"1993","04","Apr","Lubbock MSA","Adj","4.9"
"1993","05","May","Lubbock MSA","Adj","4.8"
"1993","06","Jun","Lubbock MSA","Adj","4.6"
"1993","07","Jul","Lubbock MSA","Adj","4.6"
"1993","08","Aug","Lubbock MSA","Adj","4.5"
"1993","09","Sep","Lubbock MSA","Adj","4.5"
"1993","10","Oct","Lubbock MSA","Adj","4.5"
"1993","11","Nov","Lubbock MSA","Adj","4.5"
"1993","12","Dec","Lubbock MSA","Adj","4.5"
"1992","01","Jan","Lubbock MSA","Adj","6.0"
"1992","02","Feb","Lubbock MSA","Adj","6.0"
"1992","03","Mar","Lubbock MSA","Adj","5.9"
"1992","04","Apr","Lubbock MSA","Adj","5.9"
"1992","05","May","Lubbock MSA","Adj","5.9"
"1992","06","Jun","Lubbock MSA","Adj","5.9"
"1992","07","Jul","Lubbock MSA","Adj","5.7"
"1992","08","Aug","Lubbock MSA","Adj","5.7"
"1992","09","Sep","Lubbock MSA","Adj","5.6"
"1992","10","Oct","Lubbock MSA","Adj","5.6"
"1992","11","Nov","Lubbock MSA","Adj","5.6"
"1992","12","Dec","Lubbock MSA","Adj","5.5"
"1991","01","Jan","Lubbock MSA","Adj","5.0"
"1991","02","Feb","Lubbock MSA","Adj","5.1"
"1991","03","Mar","Lubbock MSA","Adj","5.2"
"1991","04","Apr","Lubbock MSA","Adj","5.4"
"1991","05","May","Lubbock MSA","Adj","5.5"
"1991","06","Jun","Lubbock MSA","Adj","5.5"
"1991","07","Jul","Lubbock MSA","Adj","5.5"
"1991","08","Aug","Lubbock MSA","Adj","5.6"
"1991","09","Sep","Lubbock MSA","Adj","5.6"
"1991","10","Oct","Lubbock MSA","Adj","5.8"
